# iterator, reward, timestamp 
1,-63.81612688486924,1659324061.0401795
2,-86.3426147231655,1659324065.1447902
3,-85.15802832520315,1659324068.1476762
4,-100.7469892501831,1659324072.2538898
5,-84.50850894629984,1659324075.3573472
6,-84.40796915291989,1659324078.360302
7,-104.90224953918077,1659324083.469705
8,-69.19331147144484,1659324086.5723772
9,-98.29545021057129,1659324089.677265
10,-103.95371913909912,1659324093.683902
11,-29.64489473405169,1659324096.7892182
12,-105.37441097890968,1659324099.8954186
13,-88.81929369514205,1659324104.0023844
14,-106.7866009322864,1659324110.1117523
15,-127.53582000732422,1659324114.2126956
