# iterator, reward, timestamp 
1,-102.38097787734552,1655215827.0032725
2,-122.75698609975178,1655215831.1105556
3,-104.10680701010443,1655215836.217747
4,-79.73581760063568,1655215839.3247547
5,-104.96263338877293,1655215842.4310384
6,-126.69852413279216,1655215846.5343242
7,-124.45059455973308,1655215849.5358846
8,-104.03879261597912,1655215854.6400747
9,-83.22022503256339,1655215857.7434192
10,-101.55156083730061,1655215863.851637
11,-100.91152824503581,1655215866.854699
12,-25.355696239334073,1655215869.955225
13,-25.15483198843165,1655215872.9600735
14,-104.32652049723488,1655215877.0607092
15,-83.27747872700047,1655215880.163104
16,-80.29601216512332,1655215884.1690469
17,-102.70746973259729,1655215888.274477
18,-123.0190081181844,1655215892.3857517
19,-99.76182373067711,1655215895.489467
20,-101.79605010035299,1655215901.4999013
21,-66.61647372756421,1655215904.6043742
22,-45.13167554131519,1655215907.6088715
23,-102.44336473721849,1655215910.7156215
24,-67.75420466260876,1655215913.8209891
25,-97.02613882904053,1655215916.9274502
26,-24.83385565310816,1655215920.036523
27,-22.97844341057175,1655215923.0373034
28,-24.432855223761386,1655215926.041302
29,-23.9368695466562,1655215929.0447297
30,-25.566348240632223,1655215932.0475106
31,-24.33393379694465,1655215935.0519345
32,-21.837307139343782,1655215938.0559275
33,-25.084208738358814,1655215941.0593152
34,-26.206945914540086,1655215944.0624793
35,-25.267882397164392,1655215947.0649493
36,-25.50902470467542,1655215950.0658777
37,-25.45985686233761,1655215953.0698063
38,-21.5125521251993,1655215956.0741258
39,-23.311333643321113,1655215959.0791008
40,-23.707000702586093,1655215962.0839446
41,-9.432755860295309,1655215965.0870283
42,-25.26962676183396,1655215968.0869002
43,-25.483816329877463,1655215971.0895793
44,-25.548049876166452,1655215974.0912848
45,-25.178455897390016,1655215977.092807
46,-25.692942132142583,1655215980.09505
47,-25.332485661548727,1655215983.096904
48,-25.01808133511897,1655215986.0987175
49,-23.578379669237087,1655215989.104339
50,-26.0290150694051,1655215992.1086636
51,-23.761474742700646,1655215995.1120534
52,-23.131443730623364,1655215998.1169388
53,-25.217508213521466,1655216001.1212552
54,-24.691730243156677,1655216004.1253576
55,-25.108884602986286,1655216007.1253295
56,-24.50610595739199,1655216010.1312356
57,-24.23353213279019,1655216013.1340883
58,-25.258395807264634,1655216016.1340334
59,-22.328594305912677,1655216019.139366
60,-25.39354206486512,1655216022.1432111
61,-25.619980806718573,1655216025.1427572
62,-24.65822778660757,1655216028.1480246
63,-23.26434269938022,1655216031.1522515
64,-25.53895161159766,1655216034.1515086
65,-24.707361021278537,1655216037.157962
66,-23.724862971816805,1655216040.162067
67,-25.499129017975328,1655216043.1619012
68,-25.255489988964992,1655216046.1644065
69,-22.92281543890107,1655216049.1700263
