# iterator, reward, timestamp 
1,-86.57815905927188,1647582456.255744
2,-105.33021403420379,1647582459.3613782
3,-105.6789271051023,1647582464.368733
4,-85.399935715596,1647582468.4759753
5,-103.35743427276611,1647582471.5810103
6,-83.57507558589414,1647582475.6878934
7,-101.4939546585083,1647582480.7980716
8,-25.604453645498232,1647582483.9017386
9,-27.414465714042034,1647582486.9055548
10,-103.45923900604248,1647582492.015443
11,-26.473683227425013,1647582495.1214826
12,-27.254008624706504,1647582498.1250758
13,-27.260916181272645,1647582501.1294973
14,-27.123852511158873,1647582504.1345947
15,-103.57069812772457,1647582507.2425635
16,-84.19534132287095,1647582510.3483455
17,-105.78396180697919,1647582513.4534209
18,-127.6928186416626,1647582516.559296
19,-108.83850424629284,1647582519.6670969
20,-128.15845012664795,1647582522.7743936
21,-135.0463628768921,1647582525.777275
22,-103.97893794582055,1647582528.8859193
23,-81.85766232549018,1647582533.9931657
24,-105.42718379221417,1647582540.1015933
25,-106.17995477356624,1647582543.106569
26,-66.63383445897162,1647582546.2136955
27,-50.31182964379496,1647582549.2176845
28,-35.655175129142386,1647582552.221714
29,-26.187551404489994,1647582555.2272549
30,-27.226692298748063,1647582558.231452
31,-27.5826208259625,1647582561.23531
32,-27.52766064789254,1647582564.2398086
33,-27.20023455870593,1647582567.2443361
34,-27.73193861197628,1647582570.2489762
35,-27.00232578642353,1647582573.2525344
36,-26.99548987764323,1647582576.256807
37,-27.451016158583887,1647582579.2615988
38,-27.540916030047036,1647582582.2650785
39,-27.560761877264774,1647582585.2702403
40,-27.331229463724345,1647582588.2739878
41,-27.41100610974454,1647582591.278891
42,-27.654359539460785,1647582594.2823966
43,-28.59552627289224,1647582597.2884781
44,-28.969385744520093,1647582600.2919402
45,-27.91399440567536,1647582603.2967098
46,-28.569292910097637,1647582606.30086
47,-33.48992653240477,1647582609.304876
48,-28.0127981249405,1647582612.3068578
49,-28.215242396555507,1647582615.3106
50,-28.756583445053614,1647582618.3142092
51,-27.482803655184664,1647582621.3185513
52,-27.537831727661104,1647582624.3220785
53,-27.51445109599479,1647582627.3260288
54,-27.01398300866057,1647582630.3294644
55,-27.86969605420283,1647582633.334669
56,-27.74917505675982,1647582636.3398163
57,-27.200305043846164,1647582639.342547
58,-26.586281402683703,1647582642.3462465
59,-30.76321010645606,1647582645.350667
60,-27.04074987480594,1647582648.3540142
61,-26.701167171114836,1647582651.3592875
62,-31.007599181818016,1647582654.3629055
63,-28.35078123051463,1647582657.3669965
64,-26.38062602694842,1647582660.3709407
65,-27.467709915749037,1647582663.3755739
66,-28.180080037832916,1647582666.380054
67,-27.308470540072705,1647582669.3839788
68,-26.548446688061624,1647582672.3890033
69,-27.563681881489554,1647582675.39272
70,-27.531150304620777,1647582678.3972867
71,-27.977732367914637,1647582681.4013238
72,-27.946338934113204,1647582684.405572
73,-27.69242435506523,1647582687.409874
74,-28.146695023734093,1647582690.414822
75,-31.05108163219473,1647582693.4202433
76,-26.30010307426615,1647582696.4238062
77,-28.778898526847232,1647582699.4286704
78,-28.03285571378085,1647582702.4326153
79,-28.70281458707468,1647582705.4369938
80,-28.339411468793294,1647582708.4409819
81,-28.171338141507377,1647582711.444416
82,-28.27302598316896,1647582714.450655
83,-28.832598799470468,1647582717.4557123
84,-27.616472776336206,1647582720.4595983
85,-28.12893077687579,1647582723.463264
86,-28.151194069939002,1647582726.4673524
87,-27.81370865815334,1647582729.4714243
88,-26.86955517668866,1647582732.4747233
89,-28.689261581042455,1647582735.4813144
90,-29.22883186976831,1647582738.4851391
91,-28.538500791876874,1647582741.488919
92,-27.666761921692704,1647582744.4899647
93,-29.364331124270475,1647582747.4998512
94,-28.673414215993535,1647582750.5032585
95,-28.858918739671807,1647582753.507286
96,-27.735443730516476,1647582756.509874
97,-27.497425929075618,1647582759.5133867
98,-27.24468049925636,1647582762.5166316
99,-27.445856796051736,1647582765.5211885
100,-28.993570086096728,1647582768.5244894
101,-28.088649932368913,1647582771.5282617
102,-27.755146214476866,1647582774.5325708
103,-27.425533753607915,1647582777.5360508
