# iterator, reward, timestamp 
1,-112.33469776992798,1656373217.7477195
2,-27.279419325707895,1656373221.204823
3,-80.26560162746112,1656373224.6658964
4,-128.6708397450765,1656373230.1285737
5,-84.93658060050981,1656373233.5868251
6,-105.25853061278029,1656373237.048605
7,-82.13446546572081,1656373242.509527
8,-104.86613146541461,1656373245.969723
9,-127.33665041809084,1656373249.4271967
10,-102.02410646107991,1656373256.8935258
11,-27.55979016199218,1656373260.3544846
12,-104.94997837352767,1656373263.8166406
13,-83.41557692512535,1656373268.2751508
14,-125.23141436462404,1656373271.7382467
